"","Raw.genus","Raw.species"
"6668","Nothomyrmecia","Nothomyrmecia macrops"
"6669","Camponotus","Camponotus plutus"
"6670","Camponotus","Camponotus planus"
"6671","Camponotus","Camponotus cosmicus"
"6672","Camponotus","Camponotus coptobregma"
"6673","Camponotus","Camponotus elevatus"
"6674","Camponotus","Camponotus variegatus"
"6675","Camponotus","Camponotus nipponicus"
"6676","Dolichoderus","Dolichoderus thoracicus"
"6677","Solenopsis","Solenopsis azteca"
"6678","Monomorium","Monomorium hesperium"
"6679","Polyrhachis","Polyrhachis monticola"
"6680","Paratrechina","Paratrechina lepida"
"6681","Sphinctomyrmex","Sphinctomyrmex siamensis"
"6682","Strumigenys","Strumigenys bibiolona"
"6683","Daceton","Daceton boltoni"
"6684","Pheidole","Pheidole cursor"
"6685","Haidoterminus","Haidoterminus cippus"
"6686","Tetramorium","Tetramorium pseudogladius"
"6687","Stenamma","Stenamma monstrosum"
"6688","Temnothorax","Temnothorax anaphalantus"
"6689","Pachycondyla","Pachycondyla unidentata"
"6690","Tetramorium","Tetramorium setiferum"
"6691","Austroponera",""
"6692","Epimyrma","Epimyrma corsica"
"6693","Tetramorium","Tetramorium hector"
"6694","Pheidole","Pheidole zannia"
"6695","Syllophopsis","Syllophopsis peetersi"
"6696","Monomorium","Monomorium arboreum"
"6697","Monomorium","Monomorium ophthalmicum"
"6698","Monomorium","Monomorium talpa"
"6699","Aphaenogaster","Aphaenogaster cavernicola"
"6700","Messor","Messor arenarius"
"6701","Acropyga","Acropyga exsanguis"
"6702","Stenamma","Stenamma schmidti"
"6703","Santschiella","Santschiella kohli"
"6704","Polyrhachis","Polyrhachis aenescens"
"6705","Vollenhovia","Vollenhovia duodecimalis"
"6706","Tetraponera","Tetraponera emacerata"
"6707","Eciton","Eciton dulcium"
"6708","Anochetus","Anochetus ambiguus"
"6709","Pachycondyla","Pachycondyla cariosa"
"6710","Technomyrmex","Technomyrmex laurenti"
"6711","Epopostruma","Epopostruma sowestensis"
"6712","Lepisiota","Lepisiota ajjer"
"6713","Lepisiota","Lepisiota longinoda"
"6714","Pyramica","Pyramica pilinasis"
"6715","Pheidole","Pheidole susannae"
"6716","Pheidole","Pheidole acutidens"
"6717","Tetramorium","Tetramorium pinnipilum"
"6718","Crematogaster","Crematogaster kasaiensis"
