taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1325610	Dorymyrmex carettei Forel, 1913	1325610	Dorymyrmex carettei Forel, 1913	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Dorymyrmex	1325593	Dorymyrmex carettei	1325610	
1326235	Cerapachys neotropicus Weber, 1939	1326235	Cerapachys neotropicus Weber, 1939	12	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Cerapachys	1326115	Cerapachys neotropicus	1326235	
1326280	Myrcidris Ward, 1990	1326280	Myrcidris Ward, 1990	3	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Myrcidris	1326280			
1326465	Trachymyrmex mandibularis Weber, 1938	1326465	Trachymyrmex mandibularis Weber, 1938	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Trachymyrmex	1326422	Trachymyrmex mandibularis	1326465	
1326554	Gnamptogenys regularis Mayr, 1870	1326554	Gnamptogenys regularis Mayr, 1870	90	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Gnamptogenys	1326511	Gnamptogenys regularis	1326554	
4673370	Chariomyrma Forel, 1915	7721538	Polyrhachis Shuckard, 1840	4	GENUS	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Polyrhachis	7721538			
5033972	Camponotus vividus semidepilis Wheeler, 1922	5033972	Camponotus vividus semidepilis Wheeler, 1922	2	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Camponotus	1312361	Camponotus vividus	5033971	
5034050	Camponotus berthoudi Forel, 1879	5034050	Camponotus berthoudi Forel, 1879	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Camponotus	1312361	Camponotus berthoudi	5034050	
5035250	Solenopsis alecto Santschi, 1934	5035250	Solenopsis alecto Santschi, 1934	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Solenopsis	9107211	Solenopsis alecto	5035250	
5035275	Solenopsis pythia Santschi, 1934	5035275	Solenopsis pythia Santschi, 1934	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Solenopsis	9107211	Solenopsis pythia	5035275	
5035519	Myrmecia nigrocincta Smith, 1858	5035519	Myrmecia nigrocincta Smith, 1858	512	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Myrmecia	1317709	Myrmecia nigrocincta	5035519	
6244563	Monomorium niloticum niloticoides Forel, 1910	6244563	Monomorium niloticum niloticoides Forel, 1910	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Monomorium	1314419	Monomorium niloticum	1314782	
7464196	Polyrhachis striatorugosus	7464196	Polyrhachis striatorugosus	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Polyrhachis	1317959	Polyrhachis striatorugosus	7464196	
7761271	Pheidole galba	7761271	Pheidole galba	25	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pheidole	1321654	Pheidole galba	7761271	
7927657	Pheidole gilva	7927657	Pheidole gilva	12	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pheidole	1321654	Pheidole gilva	7927657	
7962588	Pheidole sagax	7962588	Pheidole sagax	33	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pheidole	1321654	Pheidole sagax	7962588	
8014495	Camponotus setosus	8014495	Camponotus setosus	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Camponotus	1312361	Camponotus setosus	8014495	
8071050	Pheidole torosa	8071050	Pheidole torosa	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pheidole	1321654	Pheidole torosa	8071050	
8257508	Pheidole seligmanni	8257508	Pheidole seligmanni	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pheidole	1321654	Pheidole seligmanni	8257508	
